dataset,split,sample_id,relative_path,width,height,image_format,sha256
diffusiondb,2m_part1_debug10,000b7b74-0a22-4d0c-b717-e240fdc5d555.png,000b7b74-0a22-4d0c-b717-e240fdc5d555.png,512,512,PNG,07e0fdea361f1e79f7b4f5f45dcc22afdb592edeb076a6424fadc7bb94cd9982
diffusiondb,2m_part1_debug10,007d6097-ed1b-4183-af99-f7dff5eae967.png,007d6097-ed1b-4183-af99-f7dff5eae967.png,512,512,PNG,69f65f08843e0f898fc58397bbca70504c2bce6c4fba0afc31a538bc504038a2
diffusiondb,2m_part1_debug10,008a493e-9801-4ffc-a2ec-823256a32aa4.png,008a493e-9801-4ffc-a2ec-823256a32aa4.png,512,768,PNG,006fa7b379437ea2065c5004683cf5ef521ce46a6c4b547a7ae803cea244444a
diffusiondb,2m_part1_debug10,00d83a64-a624-4ef2-a9b0-2666cde02218.png,00d83a64-a624-4ef2-a9b0-2666cde02218.png,512,768,PNG,8c544502232b3add960cfdf5082588224c20b08da32525cc8662e841f0c7bbc8
diffusiondb,2m_part1_debug10,011d634d-51dc-4dc1-a139-ec9f54e907a0.png,011d634d-51dc-4dc1-a139-ec9f54e907a0.png,512,896,PNG,9ae479899c02ae924d4e8a5f977d0f3e422c2ded74a1f3ea5c7b602bb4e58e96
diffusiondb,2m_part1_debug10,01419f71-766d-4d50-9e63-e880d0d1961e.png,01419f71-766d-4d50-9e63-e880d0d1961e.png,640,512,PNG,76adeeb1afc5735f4685b3096a58139c82e39ac1d0a509874ce98dc10d306327
diffusiondb,2m_part1_debug10,0181d6f8-f366-448d-b0fd-8d0a8b45cea9.png,0181d6f8-f366-448d-b0fd-8d0a8b45cea9.png,512,512,PNG,c4c6aff59ed9d995e3b1a6c76ca02bdd086f89e79282c8ba1efc530b670b19a0
diffusiondb,2m_part1_debug10,0191d8b3-42e7-451a-a775-23fa86522749.png,0191d8b3-42e7-451a-a775-23fa86522749.png,512,512,PNG,8b27b7557a5ffca888cfb2eafc8002b26e0fc7c6211d514b5a826f8af742dff2
diffusiondb,2m_part1_debug10,01dc3a19-3c5d-4168-99ec-2ceaab99948c.png,01dc3a19-3c5d-4168-99ec-2ceaab99948c.png,832,832,PNG,5304982d2426ff152a38e5c57f65adabec60bde877bd71e7a065506d3ba96e2f
diffusiondb,2m_part1_debug10,020afbd7-e778-4097-a1be-aae3fa0c69ce.png,020afbd7-e778-4097-a1be-aae3fa0c69ce.png,512,896,PNG,1abfa0c1afa6bd237287976b72ad3791bb11260ca532baa713120ae9f867a0ba
