dataset,split,sample_id,relative_path,width,height,image_format,sha256
diffusiondb_2m_formal,calibration,021174e3-0a21-473b-9aa7-d2c97f17c0a7.png,021174e3-0a21-473b-9aa7-d2c97f17c0a7.png,512,512,PNG,754423e44b279287d3a99d40a33f2db06735c62107cc1d09a478ceb01bf82e1b
diffusiondb_2m_formal,calibration,026fc981-49d6-4cfd-9b11-619ca8bc15c3.png,026fc981-49d6-4cfd-9b11-619ca8bc15c3.png,512,1024,PNG,f092c1b32fa701bd7a668fb49f5a1e04e91294511ac082b2efaab5d35adcc0d8
diffusiondb_2m_formal,calibration,0288dcc4-b749-4399-b7c7-c30287bc61ac.png,0288dcc4-b749-4399-b7c7-c30287bc61ac.png,768,512,PNG,21d90c5b37185d6b59459b45a57b22d8c15860a8f1b62493831d07ef1c6aa4b2
diffusiondb_2m_formal,calibration,02c8b9f1-0bc1-45ff-a6e1-852e4c346daf.png,02c8b9f1-0bc1-45ff-a6e1-852e4c346daf.png,512,576,PNG,eef060e9b22b03117eb6fb8fec05826a3d7ac1dc0113ccf274300e36f122efe0
diffusiondb_2m_formal,calibration,036d4c93-5052-4e93-93eb-6c1ba7f93dbd.png,036d4c93-5052-4e93-93eb-6c1ba7f93dbd.png,768,512,PNG,1a11f7e14ef763035c48bef94824de705f9d4525034bfef44c4e1eb94188c461
diffusiondb_2m_formal,calibration,03f7daaa-2c20-41b0-9762-68b12e5be62d.png,03f7daaa-2c20-41b0-9762-68b12e5be62d.png,512,512,PNG,d50a569b06d73bf0d77cd09d50dd511ae6bb3e01c441ed8d7d6ad35f971acb52
diffusiondb_2m_formal,calibration,04305dd9-2607-4bd2-99d6-58a989fced80.png,04305dd9-2607-4bd2-99d6-58a989fced80.png,512,512,PNG,02269f3fa5596ff45ee1aed84fab520a399b826a23caf33a2f0a6a969d6e6654
diffusiondb_2m_formal,calibration,04521fa6-4086-4efc-898b-f3e3165f0cf5.png,04521fa6-4086-4efc-898b-f3e3165f0cf5.png,512,512,PNG,ef8d2be5bfdf20ecabcc94d95f8143c03917ffba5af955b6f34b46f7538abd85
diffusiondb_2m_formal,calibration,04f48a9f-5c84-4e8a-9b32-9c1ccf2e78da.png,04f48a9f-5c84-4e8a-9b32-9c1ccf2e78da.png,768,512,PNG,7dbd0b7026c7afb123abb8025cae41cdce807ec3460511e4ca5c210279a9d55d
diffusiondb_2m_formal,calibration,05322862-1d9e-4ab0-878e-4f61dc8cd78e.png,05322862-1d9e-4ab0-878e-4f61dc8cd78e.png,512,512,PNG,87852578fa97a3b55941d7ff3ed6051537fc6c9e62c60d717d53a8fa073166b2
diffusiondb_2m_formal,calibration,0548bc0f-ea59-4481-8698-4edba9fd9b9c.png,0548bc0f-ea59-4481-8698-4edba9fd9b9c.png,512,704,PNG,1ac250d4730534c9d94de8ccbbf972427e47911e4511061655dca1abdf9671c7
diffusiondb_2m_formal,calibration,0585dd3d-46bd-4106-ad1c-72292c3a4de9.png,0585dd3d-46bd-4106-ad1c-72292c3a4de9.png,512,512,PNG,19ab768f981b3df3783a0b8495437f39a232f6c669fdfa946849ad0b6316aa34
diffusiondb_2m_formal,calibration,05d33111-74de-4f92-bbc3-f709c80edbde.png,05d33111-74de-4f92-bbc3-f709c80edbde.png,1280,704,PNG,c6699bf9fc339c5cc439bcec0fa04d73615fbf2f4a6941a6a4e246ec9e7b821c
diffusiondb_2m_formal,calibration,05f68cb6-6901-466b-9aaf-63e118e4eb13.png,05f68cb6-6901-466b-9aaf-63e118e4eb13.png,512,512,PNG,7270f6445ee65285fe84ecaef3428ee4eab0600c7bb36640fcd453d2dd3ef497
diffusiondb_2m_formal,calibration,065cf3b8-4793-4bd3-92aa-3b8aca434826.png,065cf3b8-4793-4bd3-92aa-3b8aca434826.png,512,768,PNG,d7e41f6992513baa44d0c723c1e0933535e22e893d1b1a7af6e00f4edec8281c
diffusiondb_2m_formal,calibration,067f6c1e-d44c-43f3-8bad-9fe4bc8dd405.png,067f6c1e-d44c-43f3-8bad-9fe4bc8dd405.png,512,512,PNG,9f01151111566b2c36f0f324b77ae3cc0846d92281bb31d90fedb9fcd48372a4
diffusiondb_2m_formal,calibration,06a94616-f32d-4628-86dd-224a21993943.png,06a94616-f32d-4628-86dd-224a21993943.png,512,512,PNG,a837b13637952e537eac9d89e95e7a6cbd5c759b9f8e001c5703809a9669d3f8
diffusiondb_2m_formal,calibration,06c561b5-bb0b-452f-b8d2-450f9bca510d.png,06c561b5-bb0b-452f-b8d2-450f9bca510d.png,512,768,PNG,0111e079b4b814c5901c599b9b25d8126cafe1388fed591c4a09e4f322e9f586
diffusiondb_2m_formal,calibration,06cc1796-5320-4c2f-a035-d89c813504b0.png,06cc1796-5320-4c2f-a035-d89c813504b0.png,640,640,PNG,049b652a68af7093ec472eca85ac518b82126817636d6a425c2c989f444fd505
diffusiondb_2m_formal,calibration,06d2967c-8b13-460d-b2ba-ca4902201cfd.png,06d2967c-8b13-460d-b2ba-ca4902201cfd.png,512,512,PNG,e6c899af40931e10c91cef1b19cff77f57940697c8695334129c75d3de185347
diffusiondb_2m_formal,calibration,0717f71a-1a2b-4493-8878-8bd77b9da62a.png,0717f71a-1a2b-4493-8878-8bd77b9da62a.png,1024,512,PNG,6cb83c91910c9209912abe9479077c29e3f4f893320836d770f6ddf195c63747
diffusiondb_2m_formal,calibration,071fa44f-8cd9-477b-8fcb-b02a4ecd10d8.png,071fa44f-8cd9-477b-8fcb-b02a4ecd10d8.png,768,512,PNG,ddd7e05b586d1a3e70fda432c481242ca7ce4c978b2fbb420d5bc5475dac3386
diffusiondb_2m_formal,calibration,079db0dd-24c4-4c6a-bb4e-ffff47f27ef0.png,079db0dd-24c4-4c6a-bb4e-ffff47f27ef0.png,512,512,PNG,0f48d79c5b347b19adc0b8f6aab504ca4668e0ebda372006444bbba8e4b9deea
diffusiondb_2m_formal,calibration,07b0fb0c-34c5-4001-9f94-9e0c6a6e7b44.png,07b0fb0c-34c5-4001-9f94-9e0c6a6e7b44.png,512,704,PNG,601a4730f11186c91cbe86a76f97fd996bef1aa50d2292c0162ea2a832cac436
diffusiondb_2m_formal,calibration,07d9f765-5d5b-44ba-93c1-fb8f822ba594.png,07d9f765-5d5b-44ba-93c1-fb8f822ba594.png,512,512,PNG,7c68a4e77787d2749c2f69b221be4222dc65cef48c27d287b9fe46c849994f41
