dataset,split,sample_id,relative_path,width,height,image_format,sha256
div2k_formal,calibration_train,0001.png,0001.png,2040,1404,PNG,cdb20d7a462744c269d8e197f735c7bc42e7cda367a940a9b7bc27803b1c8619
div2k_formal,calibration_train,0002.png,0002.png,2040,1848,PNG,82325cea74c2cd4681f69a10e36ba15c896d99ec47dc2c687ef07f7497781e09
div2k_formal,calibration_train,0003.png,0003.png,2040,1356,PNG,ca9df4e0b258dee3ca63182e7204096818356a63e44f7c6eb3a632ca91516eb3
div2k_formal,calibration_train,0004.png,0004.png,2040,1344,PNG,6675cdedc1665477fd40ea026080083244aab895012e2571383661c1d5614776
div2k_formal,calibration_train,0005.png,0005.png,1608,2040,PNG,480d3a479aa5e317b070a952a75162974622ee7c2518fbf6327432151cbc3fba
div2k_formal,calibration_train,0006.png,0006.png,1356,2040,PNG,bb01a167662a12c570d36f7653798bde06d6ff09f713519dd24309e1e6dffbba
div2k_formal,calibration_train,0007.png,0007.png,2040,1356,PNG,5e9400ebfa394ed8966437bf83e12cf56f04c41cadd2a00820b51746c04551cd
div2k_formal,calibration_train,0008.png,0008.png,2040,1356,PNG,d3ca47ccccac86959e75065205e6fa084c9479adf31901d52c39d7be8ae8377f
div2k_formal,calibration_train,0009.png,0009.png,2040,1524,PNG,8a508c3fbe3731e947e9a7decf629b0accf052f266962389221f1aeb2148bafc
div2k_formal,calibration_train,0010.png,0010.png,2040,1644,PNG,d916c83a32aeb5a812fb20f2b36c3b7395a39fac66d99b2637cf157cf4bf2687
div2k_formal,calibration_train,0011.png,0011.png,2040,1356,PNG,eb4e0dc6828755dcd0a8977f7d84d128de00da6415456702442ba187a2d74c11
div2k_formal,calibration_train,0012.png,0012.png,2040,1356,PNG,33617d0cda2dfc91890d13462e70c4a57b495db1391a3d1930213aadbd9ad955
div2k_formal,calibration_train,0013.png,0013.png,2040,1368,PNG,64158f359000e81c3e19bc8a43632ee40ef9b400768322ff21046f51c59ae2dc
div2k_formal,calibration_train,0014.png,0014.png,1356,2040,PNG,889f6c91540d49632e3d55fadeced0d8afb05d8c352fbf78b86461826eb31cd1
div2k_formal,calibration_train,0015.png,0015.png,2040,1356,PNG,269800f7a5bf449ac260560b29bb9997c99b97db205509af6a0245421d5b2d70
div2k_formal,calibration_train,0016.png,0016.png,2040,1356,PNG,d9863e6c6f0ffad885d0a6085865dd90f272a278e2681f03dc410a488e227cd3
div2k_formal,calibration_train,0017.png,0017.png,2040,1356,PNG,ef5e86d335c807fcaa696bc4616ec052d5df5eda81ca9af3dd5bb550c3c66dd9
div2k_formal,calibration_train,0018.png,0018.png,2040,1368,PNG,ed54c64959e8fc7c0db11b2b355909eebc83d5d0786dc6c25fe46edd5e2071cd
div2k_formal,calibration_train,0019.png,0019.png,2040,1536,PNG,ffe28d0e27ae27ba533c54cafc7ff555066ccfe770d0fee7d2299e0c10be6668
div2k_formal,calibration_train,0020.png,0020.png,2040,1392,PNG,dd0eca7b184c42e1d4cf92cd252af9a47eb1d099f0637844ed658929f2712b0b
