dataset,split,sample_id,relative_path,width,height,image_format,sha256
geometry_v3_coco,calibration,000000025593.jpg,000000025593.jpg,640,480,JPEG,83bafce2fe5f41a25e6f0e0f43c7e6d972641f0c3fdbb26441877366a5cb77ed
geometry_v3_coco,calibration,000000025603.jpg,000000025603.jpg,640,480,JPEG,f75a5898681ea62ef547b8c002e8e0eec00c50aa6b995334ab967798cff6e6dc
geometry_v3_coco,calibration,000000025986.jpg,000000025986.jpg,640,480,JPEG,721b718fe15a4f3739c0673acde4fa224ae7839f9317e7e66d256653551ea23b
geometry_v3_coco,calibration,000000026204.jpg,000000026204.jpg,640,427,JPEG,173a86fef1dbf7dd4c91dbc6ed7f1df26fdfdc398681aa04e558ee165f3ea326
geometry_v3_coco,calibration,000000026465.jpg,000000026465.jpg,500,375,JPEG,f941bf1156d9fc2831c487a93caf78ae3367ddaa5ba4f6cda4384af13ea91ff0
geometry_v3_coco,calibration,000000026564.jpg,000000026564.jpg,640,426,JPEG,ecefff4893149e6ac22348a59c8e4d3c1b3a751266a15bd38e3e6d041bf39c52
geometry_v3_coco,calibration,000000026690.jpg,000000026690.jpg,427,640,JPEG,a59b160b83fba25fb745b42efbab6d99202b4984dbbc1cdbe8d00201b561f8f4
geometry_v3_coco,calibration,000000026926.jpg,000000026926.jpg,423,640,JPEG,7126855b6fe8548a6b9da18d8424f803c0eeb37deb3f5764f95f4d60d1915b37
geometry_v3_coco,calibration,000000026941.jpg,000000026941.jpg,640,427,JPEG,2e4081f3a5a5a747adb86d3f85dbd3e22db944ba8c2aa3f6119cb4146de4d2ad
geometry_v3_coco,calibration,000000027186.jpg,000000027186.jpg,640,428,JPEG,2e60a537145c388aba560db6312aecd5fddf5bce7a8f75adfd06492bdcd34e2e
geometry_v3_coco,calibration,000000027620.jpg,000000027620.jpg,640,480,JPEG,035a452ad79eb267a669fad48b220b1bf7d2e3500a5d736a195dc007df01bbfe
geometry_v3_coco,calibration,000000027696.jpg,000000027696.jpg,640,410,JPEG,9f24277c956430eb4502f44345bcfca81c43cfcca7184a75820e2ea1dde8cc64
