dataset,split,sample_id,relative_path,width,height,image_format,sha256
geometry_v3_div2k,calibration,0021.png,0021.png,2040,768,PNG,db209727f57f4e2704afc97b034323b688b8fc787e64eb347327b4b2a74345fe
geometry_v3_div2k,calibration,0022.png,0022.png,2040,960,PNG,355073a33f0e281cbf1265d2cf275c85445eed6d54fcd4c6a3e18c57d0fbfb75
geometry_v3_div2k,calibration,0023.png,0023.png,2040,1356,PNG,9b7f64067823e9bea8aae650e2cbff0d6482b24af111cc8728136e165d43e216
geometry_v3_div2k,calibration,0024.png,0024.png,2040,1356,PNG,bbd58cb2a5b1f8c4e78a123ddc0bd950b1d433d7f0a0cc75d8c4544b0db48434
geometry_v3_div2k,calibration,0025.png,0025.png,1140,2040,PNG,acf348dbd091edbbc8b485f6b846aefa84ad79e3777403534ae8457973e2e4dc
geometry_v3_div2k,calibration,0026.png,0026.png,2040,1536,PNG,1187f8104782b6afdf3494b010272d76f3f1a4cbadc702172802de1af07e560c
geometry_v3_div2k,calibration,0027.png,0027.png,2040,1548,PNG,a0acf5170e6d83818a5d11fc7a7505e59a2f5808d21c066bcee762ba870602e5
geometry_v3_div2k,calibration,0028.png,0028.png,2040,1992,PNG,3001a82078238b2436a6ce8be9a5d7b5125d7fd7ce94c4a3c9b4ab1051df6867
geometry_v3_div2k,calibration,0029.png,0029.png,2040,1356,PNG,2ea806b9ed81391db424b8936f3b721e7c30a98bc904eb599aec23f53060a39d
geometry_v3_div2k,calibration,0030.png,0030.png,2040,1272,PNG,c3f5e4c388e62f356db1463e851a576bb2f71d60daa15fad01dfcb46844b2158
geometry_v3_div2k,calibration,0031.png,0031.png,2040,1356,PNG,b85975a37b5573d62b44f17946758bfae27de0ed2e61c0cffd594af73356a7df
geometry_v3_div2k,calibration,0032.png,0032.png,2040,1356,PNG,22eba96aa4473f913b5680f9dd3c515391c0a244a73f94d877f83450d47856f4
