dataset,split,sample_id,relative_path,width,height,image_format,sha256
geometry_v3_w_bench,calibration,250_158394.png,250_158394.png,512,512,JPEG,0838d2148b6da38560200e3985d436d9ab0688b19080a618cc3e71eca18a7a43
geometry_v3_w_bench,calibration,251_158544.png,251_158544.png,512,512,JPEG,bd26717802cbd655fdd0925033c9e8edd6fca46d5526007b7643a67d3b43b31f
geometry_v3_w_bench,calibration,252_158545.png,252_158545.png,512,512,JPEG,448b854c6fa81ff8dd6dc6072d4f86c2e88505aa292e9c39e487b62e654eff13
geometry_v3_w_bench,calibration,253_158561.png,253_158561.png,512,512,JPEG,4b3fb0f3062b5a41f33128323f387f98e6840e243ddde5590f620cb3d44c27ff
geometry_v3_w_bench,calibration,254_158652.png,254_158652.png,512,512,JPEG,0314423001a5dcd162cd4c5a7605a23073f6c7d37ef5739eb11dec51cb71fae7
geometry_v3_w_bench,calibration,255_158653.png,255_158653.png,512,512,JPEG,e8af86a7251166d88635034b6e746c56af5b93ac68a49a8f2b3b4355ffcc12c4
geometry_v3_w_bench,calibration,256_158955.png,256_158955.png,512,512,JPEG,31f9f8a9398e4eb590b646f711013d1a54571be1f6671cd843f94a97ed953e11
geometry_v3_w_bench,calibration,257_159100.png,257_159100.png,512,512,JPEG,e256e8a1ca8cb0185d05eb5e49be7b99641575d4340ccf9b998f050fe39d8981
geometry_v3_w_bench,calibration,258_159331.png,258_159331.png,512,512,JPEG,056da2f919c50c3fd5351c6f554fe01b5b4128cd4a91a1089c663a65d68832e8
geometry_v3_w_bench,calibration,259_159360.png,259_159360.png,512,512,JPEG,01d93c66d262f7e0ee0dd4318358b001cf98d4b5668b89272b4bb74779239b4e
geometry_v3_w_bench,calibration,260_159977.png,260_159977.png,512,512,JPEG,eec150bcfd0185b08ee9ebb0778e26f500a948490c77fa41cb5f313ec649a3b1
geometry_v3_w_bench,calibration,261_160528.png,261_160528.png,512,512,JPEG,3c402e9e2c7720e41ba986c877be708e9d79d3647cebb9167c5441f18ef35c22
